from,to,weight,prob
0,1,91,0.6833993204497041
0,2,45,0.7234675561410429
0,3,27,0.8709413642492037
0,4,96,0.8722003234003027
0,5,79,0.6760816497888249
0,6,64,0.6595348038445351
0,7,21,0.715591392441081
0,8,74,0.830605618714994
0,9,81,0.7096512952059946
0,10,93,0.8603974920770707
0,11,63,0.716132186612209
0,12,85,0.7334572124691988
0,13,10,0.8776422101389302
0,14,30,0.8594418184964681
0,15,53,0.7333614025014925
0,16,37,0.9371639216620343
0,17,53,0.6806630829559547
0,18,58,0.6790149130500392
0,19,54,0.8311178094100673
0,20,15,0.8689195360081453
0,21,78,0.6874478488559628
0,22,58,0.6736400594235374
0,23,47,0.8988213992758984
0,24,89,0.915635524381042
0,25,56,0.8232056435770286
0,26,100,0.6708665446471223
0,27,94,0.7183694826954641
0,28,47,0.9455664561982273
0,29,39,0.9099451000265808
0,30,58,0.7333920809330277
0,31,91,0.9002331279922251
0,32,30,0.7610542901350648
0,33,36,0.851052552313308
0,34,99,0.9309963763137481
0,35,92,0.6714207528735645
0,36,91,0.7013415944594291
0,37,41,0.6990207481285785
0,38,58,0.7309843480352833
0,39,91,0.8564485875299939
0,40,38,0.8553842752969624
0,41,17,0.7187144215892314
0,42,14,0.8915137402313642
0,43,61,0.7303222627927108
0,44,37,0.9239408372556634
0,45,82,0.9129102879418006
0,46,50,0.7137879632162422
0,47,73,0.7686895703181993
0,48,92,0.7876555557762196
0,49,43,0.6918890958576519
0,50,81,0.8116931869001871
0,51,84,0.778530148188374
0,52,84,0.7698201515421191
0,53,38,0.9491977333967483
0,54,27,0.8028578881029393
0,55,21,0.8767346472601213
0,56,24,0.6958523958044783
0,57,30,0.8876238093088892
0,58,64,0.8289227092195921
0,59,59,0.764485785951961
0,60,69,0.8087343035297411
0,61,80,0.9082339106703494
0,62,11,0.8540850230769556
0,63,24,0.8545131107079724
0,64,78,0.875263339877483
0,65,92,0.7520526419093135
0,66,47,0.7804295752007315
0,67,68,0.6509735948305188
0,68,43,0.9415664296610342
0,69,32,0.8023045023812976
1,2,23,0.9111555709510301
1,3,48,0.9025008044517401
1,4,74,0.8326910634314517
1,5,29,0.7621741557773444
1,6,30,0.8118137090358877
1,7,77,0.9255480483187106
1,8,86,0.747246817101402
1,9,12,0.6835603175962686
1,10,56,0.9136165633469553
1,11,49,0.7218356931014176
1,12,40,0.9134028797612121
1,13,20,0.6756960356203636
1,14,72,0.8948069760260265
1,15,78,0.8797503287920962
1,16,26,0.8479252468242102
1,17,80,0.6995380876922384
1,18,77,0.9117299123255772
1,19,64,0.9393088718022365
1,20,79,0.8765795589907416
1,21,98,0.7103453190169088
1,22,49,0.7696976899992287
1,23,95,0.844963417291836
1,24,66,0.9198842253928836
1,25,67,0.6863012587604798
1,26,38,0.6692077688979035
1,27,12,0.82649261553717
1,28,39,0.8265320343231053
1,29,10,0.6712979258027097
1,30,90,0.667662130062897
1,31,18,0.9216260039018384
1,32,52,0.671257204966596
1,33,40,0.7335431791893641
1,34,72,0.7142710422111316
1,35,26,0.8670057697642912
1,36,83,0.82286349491627
1,37,41,0.8853858272872259
1,38,62,0.7071229743085633
1,39,22,0.847694824854399
1,40,55,0.7770735869059762
1,41,69,0.9091510245108809
1,42,16,0.8520093641879904
1,43,92,0.6795253613455877
1,44,61,0.8684640765323548
1,45,23,0.7245969001760857
1,46,34,0.8108857261731033
1,47,27,0.7765644919503213
1,48,45,0.7887884205202902
1,49,19,0.7829392235160371
1,50,80,0.6793726184604801
1,51,93,0.949784740523818
1,52,11,0.9406988771854253
1,53,40,0.6998933331811742
1,54,72,0.7944075253913119
1,55,61,0.9207328596531645
1,56,31,0.7636919356930748
1,57,59,0.7295609174516455
1,58,68,0.7355747686840761
1,59,99,0.9371952922579019
1,60,81,0.8485613935852235
1,61,72,0.6964390475822193
1,62,47,0.7153102695242525
1,63,17,0.8237540872448769
1,64,79,0.6682872714429547
1,65,50,0.6671495818722449
1,66,84,0.7930365551326805
1,67,77,0.697229818381845
1,68,75,0.6740334395721761
1,69,33,0.6705563998111377
2,3,18,0.8525637660812271
2,4,40,0.7711326653954832
2,5,82,0.7238646043365875
2,6,86,0.6619224986867194
2,7,20,0.7757674746007617
2,8,84,0.8195680771532268
2,9,50,0.9304118773209281
2,10,36,0.8509177924309488
2,11,50,0.7216057857847538
2,12,60,0.689263484638237
2,13,92,0.7399991239396286
2,14,50,0.9287054995116542
2,15,19,0.652794637065274
2,16,89,0.9495363322563326
2,17,22,0.67197821632989
2,18,37,0.8017654082146296
2,19,26,0.9299778133981127
2,20,18,0.9137810727453628
2,21,57,0.735496217364997
2,22,66,0.9001234863919421
2,23,100,0.740755142893667
2,24,93,0.808682207780681
2,25,95,0.8951312405346384
2,26,48,0.9295268118308232
2,27,23,0.9316790011781311
2,28,27,0.7293397764461383
2,29,23,0.8727250051942996
2,30,29,0.7317044636944449
2,31,87,0.7131888964420829
2,32,53,0.7110791936982359
2,33,91,0.9058738446175691
2,34,74,0.796559555644813
2,35,16,0.67768954031382
2,36,64,0.8988044268116657
2,37,15,0.6510637067263347
2,38,26,0.8411340131904139
2,39,43,0.6984745928821658
2,40,66,0.8155041263379174
2,41,64,0.8182720594324239
2,42,24,0.6725731580221301
2,43,98,0.9211785714679679
2,44,79,0.6608084414182492
2,45,57,0.8247528699469382
2,46,28,0.7789360138642315
2,47,15,0.7424775049790401
2,48,15,0.9196773909579423
2,49,36,0.8546200064931729
2,50,95,0.6808380865015357
2,51,81,0.9152404104353027
2,52,62,0.9421511067911866
2,53,29,0.9277291467708669
2,54,40,0.9093817088659892
2,55,32,0.9144248613989973
2,56,13,0.7038081990254621
2,57,52,0.8847159488442895
2,58,62,0.8906705416811417
2,59,41,0.7300417128783416
2,60,99,0.6824286879208872
2,61,14,0.9075779754013344
2,62,38,0.7098718490077256
2,63,68,0.7548975273337756
2,64,39,0.7168770641617427
2,65,94,0.7079389364983126
2,66,52,0.7335809183069012
2,67,18,0.9400667312145083
2,68,45,0.7553438387248257
2,69,75,0.7699035153080183
3,4,78,0.7493449604643221
3,5,13,0.6846025255554283
3,6,43,0.7035703448517391
3,7,43,0.6614771592059788
3,8,86,0.7803691275693934
3,9,50,0.7809181651611824
3,10,75,0.6846937352087992
3,11,83,0.7070236323506889
3,12,15,0.8626355851502512
3,13,10,0.8059761045699756
3,14,78,0.856057144074358
3,15,95,0.7091105387305203
3,16,65,0.670992143337893
3,17,95,0.9262312568654121
3,18,89,0.7441746935175079
3,19,25,0.865926278904185
3,20,48,0.8021367512105807
3,21,95,0.7725178725857651
3,22,61,0.8591625242583196
3,23,80,0.688186339717746
3,24,63,0.8494788302638314
3,25,58,0.8531953835818198
3,26,32,0.8346544747854141
3,27,48,0.7718225506274489
3,28,10,0.7411624847805062
3,29,36,0.7789664449969503
3,30,84,0.8319984711439288
3,31,51,0.7894964570741043
3,32,66,0.8526881699570299
3,33,75,0.7919558557727979
3,34,31,0.8476552234995265
3,35,46,0.8046356029745649
3,36,91,0.8357782416087126
3,37,21,0.8955270393609993
3,38,40,0.8518387011671501
3,39,38,0.8919688683728797
3,40,28,0.6573276163180479
3,41,41,0.9451808068345554
3,42,88,0.9049213083874195
3,43,19,0.7866248505140268
3,44,90,0.8227012698227955
3,45,99,0.7651935402178254
3,46,61,0.7231953318735317
3,47,93,0.8562867239241558
3,48,23,0.8835261220301975
3,49,38,0.7027660045119595
3,50,99,0.8053873251331223
3,51,16,0.8172217382100185
3,52,25,0.7869385476410518
3,53,69,0.8502733197759059
3,54,81,0.8286356955408258
3,55,66,0.8337956968285288
3,56,74,0.7780222270575967
3,57,80,0.7837740836230102
3,58,30,0.8730966326478754
3,59,70,0.7850209271740725
3,60,41,0.9019588663525762
3,61,45,0.8797441052891496
3,62,76,0.79537910512108
3,63,40,0.7323792340752615
3,64,19,0.8640634587833169
3,65,40,0.7315145321246553
3,66,50,0.9179080498370951
3,67,20,0.6915122184548468
3,68,39,0.7649105877294015
3,69,29,0.8619257425083656
4,5,18,0.7744603687694654
4,6,52,0.8127833421511745
4,7,63,0.6686797131750756
4,8,63,0.7668430438000824
4,9,84,0.93381861007703
4,10,12,0.9070196096911802
4,11,83,0.7641143086783135
4,12,10,0.932822497230229
4,13,48,0.8760425375178157
4,14,63,0.8114661702830694
4,15,79,0.8899604512823802
4,16,38,0.7964688432650752
4,17,44,0.780750792813991
4,18,13,0.7666571609738384
4,19,95,0.8537425655085049
4,20,61,0.8672544132881865
4,21,69,0.9258624862006928
4,22,89,0.8102370888597513
4,23,60,0.8275678326883733
4,24,94,0.6581306139020937
4,25,92,0.7785838308983284
4,26,69,0.7045187079540296
4,27,43,0.7637311592564419
4,28,37,0.7864097975049447
4,29,53,0.8783689123682081
4,30,58,0.7334769846916418
4,31,63,0.7256814595347142
4,32,20,0.7910920508639141
4,33,79,0.6656256824729767
4,34,54,0.7172666497159245
4,35,18,0.8843699148832684
4,36,93,0.66207744126223
4,37,13,0.9348835198147967
4,38,35,0.9017686538853794
4,39,89,0.6957147037354371
4,40,26,0.7920683182838384
4,41,24,0.8191908745790057
4,42,37,0.7895101950305662
4,43,42,0.8800694295068722
4,44,31,0.8317678077680933
4,45,24,0.8833375658526298
4,46,30,0.9394162319102263
4,47,23,0.823605419752773
4,48,49,0.8227390185237242
4,49,58,0.7689963324549882
4,50,35,0.672798943352918
4,51,98,0.8991714901340955
4,52,41,0.680570391633793
4,53,48,0.9050879717266389
4,54,86,0.8916583890938499
4,55,82,0.8847906039083059
4,56,54,0.80982357359315
4,57,94,0.7611712628654168
4,58,74,0.8442629762170415
4,59,11,0.9048726880998732
4,60,72,0.6816616611931996
4,61,56,0.8406755318304338
4,62,68,0.8621925931118231
4,63,65,0.7028410883258178
4,64,76,0.9396421193714233
4,65,44,0.8347737062160653
4,66,78,0.8823924351114724
4,67,69,0.7806723479011682
4,68,85,0.7305186614147676
4,69,41,0.899219305667181
5,6,21,0.7336784747577411
5,7,67,0.7231590317572868
5,8,69,0.8209548934034967
5,9,95,0.7636967912384792
5,10,13,0.7982919510847766
5,11,51,0.7045519571473076
5,12,37,0.7564474898528286
5,13,43,0.7521016529492851
5,14,86,0.8603551250996604
5,15,45,0.8167373083758751
5,16,76,0.9344187733331093
5,17,20,0.7224068151118039
5,18,62,0.7965733540546363
5,19,40,0.8571828018339569
5,20,92,0.8635527219418168
5,21,67,0.8878798604396951
5,22,21,0.7382706743961492
5,23,61,0.8575361465885605
5,24,49,0.8491880064790448
5,25,57,0.7919781466278575
5,26,77,0.7531272182438608
5,27,80,0.749237389158779
5,28,99,0.7861235788559535
5,29,49,0.7254211028602825
5,30,25,0.8663852993978208
5,31,50,0.6858664223765158
5,32,78,0.9352632681180304
5,33,98,0.7055449527312986
5,34,37,0.8715813960526851
5,35,45,0.8673755003279154
5,36,77,0.8290372221536905
5,37,22,0.8997885089981204
5,38,47,0.7182449490447664
5,39,32,0.7406802766341307
5,40,100,0.810240526780299
5,41,45,0.6636547102949655
5,42,16,0.8160076900395825
5,43,99,0.9332268844387221
5,44,91,0.9105383591788831
5,45,72,0.6807762940363282
5,46,11,0.8222192658878996
5,47,70,0.7936142625819194
5,48,53,0.7053091011170245
5,49,16,0.7257435171478918
5,50,71,0.6842261422174774
5,51,18,0.7702122326755819
5,52,19,0.8231063469412454
5,53,97,0.66608272228776
5,54,29,0.8933426228825142
5,55,48,0.675554272518869
5,56,41,0.6855354686634385
5,57,63,0.8318952953728889
5,58,89,0.7177061411195104
5,59,76,0.7641134078439649
5,60,66,0.7392059397552162
5,61,85,0.9470093781400393
5,62,49,0.8205888411872699
5,63,17,0.832889273673539
5,64,22,0.9342770600976134
5,65,36,0.8376545091219809
5,66,43,0.848128441157611
5,67,30,0.7219595533024077
5,68,80,0.6725194606703504
5,69,10,0.772555271798008
6,7,98,0.828143358535869
6,8,47,0.6597919566142773
6,9,46,0.86208674896371
6,10,99,0.9078820194021566
6,11,19,0.8562154760213728
6,12,43,0.8863484079940194
6,13,90,0.8269368767615773
6,14,35,0.7775416898312635
6,15,79,0.7174428350798072
6,16,29,0.9225234335637817
6,17,28,0.6714229510567442
6,18,31,0.8877885698697234
6,19,86,0.874687316620887
